label,text,text_proc
mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crimes american muslims mosques tripled paris san bernardino
half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,rick perry never lost election remains person texas governorship three times landslide elections
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",isis supporter tweeted num_token num_token shooting began num_token num_token chattanooga tenn
mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,youth unemployment minority communities num_token num_token percent
true,Says Paul Ryan is still endorsing Trump.,says paul ryan still endorsing trump
barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",look states right work constantly budget deficits good business climates
false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,obama administration going come next several months youre even going able burn coal limitedly existing plants
mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,cut business taxes today num_token percent businesses dont pay business tax
mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.,says mark pryor votes obama num_token percent time
true,We have a federal government that thinks they have the authority to regulate our toilet seats.,federal government thinks authority regulate toilet seats
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,austin city basically doubled size every num_token years since founded
true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",nuclear test conducted nation time earth's num_token th nuclear test five permanent members u n security council conducted num_token percent total nuclear tests
pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",case catastrophic event atlanta area offices centers disease control prevention self destruct
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",president george w bush added num_token trillion debt president obama weve added num_token trillion debt
false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,says u supreme court justice suggested u cases decided based south african law
half-true,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,says marco rubio skipped num_token defense votes including one arm kurds fight isis
pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",rep david cicilline responsible federal loan guarantee solyndra failed solar company
pants-fire,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,says ohio budget item later signed law gov john kasich requires women seeking abortion undergo mandatory vaginal probe
false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,director homeland security cannot use use term terrorist attack instead substitutes man made disaster
half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,african american youth unemployment num_token percent hispanic youth unemployment num_token percent
pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",obamacare provide insurance non u residents even illegally
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,president barack obama took exactly none deficit reduction commissions ideas one
pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,barack obama hillary clinton changed rules engagement probably cost capt humayun khans life
true,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,hillary clinton num_token co sponsored legislation would jail flag burners
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,says paperback edition mitt romneys book deleted line massachusetts individual mandate model country
barely-true,"Maggie Hassan raised tuition, making it the highest in America.",maggie hassan raised tuition making highest america
false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,says terry mcauliffe person invented scheme rent lincoln bedroom
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",created num_token new jobs cut unemployment rate almost half today new york state private sector jobs ever history
barely-true,"We have towns in West Texas that are out of water, that are having to truck in water.",towns west texas water truck water
half-true,"In Georgia, women earn 82 cents for every dollar earned by men.",georgia women earn num_token cents every dollar earned men
half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,federal system verifies employees authorized work u inaccurate anywhere num_token percent way excess num_token percent time
barely-true,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",going build wall ago long ago like num_token couldnt get environmental impact statements
false,Sen. Obama's campaign announced that he's choosing his cabinet.,sen obama's campaign announced choosing cabinet
mostly-true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",num_token num_token percent latinos texas registered vote num_token percent actually turned
false,Only 2 percent of public high schools in the country offer PE classes.,num_token percent public high schools country offer pe classes
mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",said republican candidate who's actually turned around government economy
true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",military recruiters harvard elena kagan took position supreme court ruled unanimously wrong
mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",num_token public school teachers texas num_token non teachers public schools
false,"Under Mayor Cicilline, [Providence] was a sanctuary city.",mayor cicilline providence sanctuary city
pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,transgender individuals u num_token num_token chance murdered
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",bain capital helped start early childhood learning company called bright horizons first lady michelle obama rightly praised
false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",says man rushed stage dayton ohio chatter isis isis social media posts
barely-true,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,u rep phil gingrey gave government power electronically spy americans without warrant
barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,alex sink funneled three quarters million dollars bid contracts bank america
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",take population growth virginia net zero job creation since bob mcdonnell became governor
barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",obama home values florida collapsed construction jobs lost state high foreclosure rate
mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",new arizona immigration law says police officer stop anyone appears reasonably suspicious undocumented person
mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,time history debt higher end world war ii
mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,cost health care single biggest factor driving federal budget deficit
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",recession consumer native perversity begun save savings rate num_token percent
false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,whether u supreme court nominee forthcoming confirmation hearings
barely-true,Says one out of three U.S. homeless men is a veteran.,says one three u homeless men veteran
false,Says Charlie Crist supports cuts to the Medicare Advantage program.,says charlie crist supports cuts medicare advantage program
half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,think unacceptable chinese today larger wind power solar panels photovoltaic manufacturing europe put together forget united states
true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,says scott brown co sponsored legislation let employers deny women coverage birth control
half-true,"At some point in their lives, 99% of women use birth control.",point lives num_token women use birth control
false,"In the past 20 years, Egypt has made great strides in political and democratic reform.",past num_token years egypt made great strides political democratic reform
false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,amount attention paid week chris christie makes coverage benghazi pale significance
true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,says u rep steve southerland voted keep shutdown going
half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",rick perrys texas import nurses countries
mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,federal criminal law says crime transport dentures across state lines
mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,built new prison every num_token days num_token num_token keep mass incarceration explosion nonviolent offenders
barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",sen mccain's tax plan provides virtually nothing middle class
false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,austin burdened fastest growing tax increases major city nation
false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",phoenix arizona num_token kidnapping capital world
true,I belong to the AFL-CIO.,belong afl cio
mostly-true,The insurance commissioner cant do squat about health care.,insurance commissioner cant squat health care
half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,says poll found republican candidate could beat barack obama texas eight points
barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",president ronald reagan sent troops conflict one circumstance grenada peacekeeping setting lebanon
barely-true,Says David Jolly supports privatizing Social Security.,says david jolly supports privatizing social security
true,Did you know US population growth is at its lowest since the Great Depression?,know us population growth lowest since great depression
mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",average student florida actually pay pocket major universities tuition much less spend cellphones
true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",since num_token americans died gunfire died wars countrys history
mostly-true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,foreclosure tax would take effect num_token could mean high tax bill facing foreclosure millions families modified mortgage short sale lender
false,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,florida department agricultures website url_token used get permit carry loaded hidden gun without ever leaving house
pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",atlanta streetcar expected create num_token jobs construction totaling num_token jobs next num_token years
mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",raising minimum wage num_token hour would help lift million americans poverty
mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",says secretary state john kerry senator flew managua met communist dictator daniel ortega accused reagan administration engaging terrorism
false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",nato opening major terror division im sure im going get credit largely saying criticism nato
true,Sen. Obama has always had a 100 percent prochoice rating.,sen obama always num_token percent prochoice rating
half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",since gina raimondo took office investment fees states pension portfolio gone num_token million annually num_token million
true,The (federal) debt is growing by more than $4 billion a day.,federal debt growing num_token billion day
half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",president barack obamas jobs bill states would longer lay teachers firefighters police officers
false,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",num_token teachers k num_token num_token teachers today num_token years old
mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,two thirds wisconsinites receiving unemployment checks required search work due current work search exemptions
half-true,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",president obamas health care reforms premium average plan family didnt go num_token per year gone num_token per year
half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",irs also investigated liberal groups groups progressive name irs basically looking everybody
barely-true,Says Obama promised unemployment would never go above 8 percent.,says obama promised unemployment would never go num_token percent
true,The economy is creating jobs at the fastest pace since 1999.,economy creating jobs fastest pace since num_token
mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,president obama decided meet prime minister benjamin netanyahu new york
mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love.",majority states marry freely still fired love
pants-fire,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,say oregon reps peter defazio earl blumenauer socialists openly serving u congress
pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",rudy giuliani probably underqualified man since george bush seek presidency
false,"About half of the presidents have been governors; half of them, senators.",half presidents governors half senators
mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",britains vote leave european union within num_token hours americans lost num_token billion num_token k
mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid spending declined num_token percent num_token second decline num_token years
true,Says 88 Texas constables have died in the line of duty.,says num_token texas constables died line duty
mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",gov rick scott cut cost prepaid college tuition nearly num_token
mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",city columbus would save num_token million year employees contribute guaranteed check pensions
true,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",florida's cfo shut krakow's scam refunded num_token million josephine victims con man
mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,women getting computer sciences degrees factor num_token plus
false,The Air Force wants taxpayers to fund a fantasy football league.,air force wants taxpayers fund fantasy football league
pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,barack hussein obama force courts accept islamic sharia law domestic disputes
half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,num_token percent murders crimes committed guns people actually legally purchase guns
mostly-true,Some neighborhood schools are closing.,neighborhood schools closing
mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,told gay organizers massachusetts would stronger advocate special rights even ted kennedy
mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",years speaker florida house consistently offered leaner budgets governor offered
barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",already almost halfway num_token goal creating num_token new jobs seven years
true,Says the U.S. Supreme Court found that Social Security is not guaranteed.,says u supreme court found social security guaranteed
false,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,saysmichael bennet wants close guantanamo bay prisonand bring terrorists right colorado
true,Oregonians have an amazing no-cost way to fight abortion with free political donations,oregonians amazing cost way fight abortion free political donations
pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",president said hes going bring num_token syrian iraqi refugees country
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",research shows vast majority arriving immigrants today come believe government source prosperity thats support
mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,newt gingrichs immigration plan offers new doorway amnesty
false,Mr. Caprio is a career politician who has never worked in the private sector.,mr caprio career politician never worked private sector
barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",rhode island num_token percent workers use states temporary disability insurance program year new jersey rate num_token percent
mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",num_token years spending social security federal health care interest debt exceed tax revenue
mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,president obama took money wall street num_token campaign anybody ever
half-true,Donald Trump has said nuclear proliferation is OK.,donald trump said nuclear proliferation ok
true,"Hillary Clinton has taken over $800,000 from lobbyists.",hillary clinton taken num_token lobbyists
false,Barack Obama has never even worked in business.,barack obama never even worked business
half-true,Says the Arizona immigration law expressly bans racial profiling.,says arizona immigration law expressly bans racial profiling
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,says gov rick perry begging federal government send coast guard patrol two lakes u mexico border
barely-true,"On the VA: Over 300,000 veterans have died waiting for care.",va num_token veterans died waiting care
mostly-true,Were now spending 42 percent of our economy on government.,spending num_token percent economy government
barely-true,Rob Cornilles supports privatizing Medicare.,rob cornilles supports privatizing medicare
false,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",num_token dan branch tried expand third trimester abortions texas
half-true,We (Democrats) have made steady progress creating jobs and improving our schools.,democrats made steady progress creating jobs improving schools
pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,michigan massachusetts raised bottle deposit could longer afford program redemptions high profit
true,"Whether you like to admit it or not, half our general revenue goes to education.",whether like admit half general revenue goes education
false,Im the only one whos fought against developers draining the Everglades!,im one whos fought developers draining everglades
half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,says ron johnson calls social security ponzi scheme wants privatize program
half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",num_token states num_token cities type policies passed referring north carolinas house bill num_token
barely-true,Climate change is directly related to the growth of terrorism.,climate change directly related growth terrorism
barely-true,The jobs bill includes President Obamas tax on soup kitchens,jobs bill includes president obamas tax soup kitchens
barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,says obama administration spent taxpayer dollars electric cars finland windmills china
half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,sarah mayor wasilla tried fire highly respected city librarian librarian refused consider removing library books sarah wanted removed
half-true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",milwaukee approves reducing maximum forfeiture marijuana possession num_token city would num_token different bicycle violations higher forfeiture
false,We have more illegal immigrants here than we did five years ago.,illegal immigrants five years ago
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,says rick perry wrote letter supporting hillarycare
false,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,u patent trademark office received zero complaints washington redskins name
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",presidents health care proposals cause americans premiums increased decreased hundreds millions people lose current insurance coverage
mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,mexican immigrants law abiding u citizens statistic
half-true,Says Chris Christie vetoed a jobs package of 30 bills.,says chris christie vetoed jobs package num_token bills
true,There are already more American jobs in the solar industry than in coal mining.,already american jobs solar industry coal mining
half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,says illinois gubernatorial candidate bill bradys first priority winning primary sponsor bill would mass euthanize sheltered dogs cats gas chambers
half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,barack obama economy thats worsened since hes president united states
mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",romney failed take action sanctuary cities massachusetts
half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",says new jersey nearly num_token jobs pre recession peak gov chris christie new jersey trailed rest america comes unemployment num_token consecutive months
false,Says Thomas Eric Duncan came into the United States with an elevated temperature.,says thomas eric duncan came united states elevated temperature
mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,afghanistan longer foreign land conducting war nations history
half-true,Gas prices have gone up $2 since Obama took office.,gas prices gone num_token since obama took office
true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,webster sponsored bill create form marriage would trap women abusive relationships
true,Says judges get better benefits at a lower cost than everybody else in the state.,says judges get better benefits lower cost everybody else state
true,There are a lot of casinos across the country that have gone bankrupt.,lot casinos across country gone bankrupt
true,Small businesses create 70 percent of the jobs in America.,small businesses create num_token percent jobs america
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",seniors coverage medicare advantage give share health care reform
half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",num_token school kids arrested florida makes florida nations leader area
mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,texas country economy would rank num_token world
false,There are more oil rigs in operation in the United States than the rest of the world combined.,oil rigs operation united states rest world combined
half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",payday lenders profit poor charging num_token plus percent interest
half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social security trust fund sound without anything done would function well num_token even time changes could pay num_token percent benefits people earned
mostly-true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,commitment voters take seriously incumbent ohio break pledge vote ted stricklands income tax hike defeated soundly tuesday
false,The Obama administration shut down the Amber Alert program because of the government shutdown.,obama administration shut amber alert program government shutdown
mostly-true,The Republicans have 2 percent of the Muslim vote.,republicans num_token percent muslim vote
mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",w e see americas prison population exploding america greater percentage people behind bars nation world
pants-fire,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",says hearing rep gabrielle giffords suggested gen david petraeus army put emphasis less environmentally damaging methods like stabbing clubbing enemy forces order minimize carbon output
half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",every single one num_token republican senators blocked raise minimum wage receive num_token cost living adjustment date_token
true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",texas num_token name new male babies many vote one day jose
mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,marco rubio voted authorizing president obama strike syria assad used chemical weapons people
false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",cash clunkers program got go local junkyard got tow house going get num_token
false,Not one Republican has the guts to recognize that climate change is real.,one republican guts recognize climate change real
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",people work longer hours lower wages almost new income goes top num_token percent
pants-fire,David Dewhurst has a record of promoting an income tax.,david dewhurst record promoting income tax
mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,point pleasant beach beaches privately owned operated businesses jenkinsons
barely-true,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",past year num_token percent americans changed mind war afghanistan conclude
false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",last five years num_token people killed along u mexico border
barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,state ohio one lowest unemployment rates nation right leading pack terms job creation
false,Says Obama health reform law denies millions access to affordable insurance.,says obama health reform law denies millions access affordable insurance
barely-true,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,says hb hasnt moved needle one iota north carolinas economy
false,Close to 30% of our federal prison population consists of illegal immigrants.,close num_token federal prison population consists illegal immigrants
false,Says Rick Scott called education not a core function of the state.,says rick scott called education core function state
false,"The Family Research Council, according to some government agencies, is a terrorist group.",family research council according government agencies terrorist group
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",says rep jim weidner proposed bill taking away health care num_token oregons children
true,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,says num_token election former gov tom kean largest winning margin gubernatorial candidate jersey history
false,Obamacare is the biggest tax increase in American history.,obamacare biggest tax increase american history
true,You ... said that Barack Obama was not ready to be commander in chief.,said barack obama ready commander chief
mostly-true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",median male worker country seen raise inflation adjusted num_token years basically
barely-true,Milwaukee Mayor Tom Barrett has held the line on property taxes.,milwaukee mayor tom barrett held line property taxes
true,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,im member house representatives raised campaign funds last election small contributions less num_token
true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",unlike gridlock washington num_token percent bills passed general assembly bipartisan support
false,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,josh mandel lying record rating ohios investment fund improved
half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",rick scott took num_token family leased land drilling trying hide
half-true,On how money from a possible lease of the Ohio Turnpike would be used,money possible lease ohio turnpike would used
mostly-true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",beginning last decade america budget surplus num_token billion time took office one year deficit num_token trillion projected deficits num_token trillion next decade
half-true,"The president has had 1,540 of his nominations confirmed, only four defeated.",president num_token nominations confirmed four defeated
